Gender,Married,Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,CreditHistory,PropertyArea,Loan_Status
0,0,0,1,8272,0.0,200,0,2,1
1,1,0,1,9832,1591.0,244,0,2,0
0,1,2,1,11390,0.0,272,1,2,1
1,0,3,1,9422,1324.0,286,1,0,1
1,1,0,0,6413,0.0,157,1,0,0
1,1,0,1,3711,1888.0,151,0,1,0
1,0,0,0,3905,0.0,113,1,2,0
1,0,0,0,11409,1876.0,313,1,0,0
1,1,0,1,2582,1357.0,163,0,1,0
0,0,2,0,4579,0.0,143,1,2,0
0,0,3,1,7047,2932.0,300,1,2,1
0,1,1,1,4766,0.0,176,0,0,0
0,1,3,1,3365,0.0,85,0,1,0
0,0,0,0,6158,0.0,197,1,2,0
1,1,0,1,6102,2558.0,180,1,2,0
1,1,0,1,5658,0.0,184,0,2,0
0,1,2,1,5798,2981.0,221,0,2,0
1,0,0,0,2526,2860.0,99,1,2,0
0,1,1,1,11842,3267.0,310,1,1,1
1,1,2,1,2190,1999.0,99,0,0,0
0,0,1,1,4449,2761.0,211,1,2,1
1,0,1,1,3765,0.0,99,1,1,1
1,1,0,1,2083,0.0,117,1,2,0
1,0,3,1,3043,0.0,131,0,1,0
0,1,0,1,4716,1536.0,140,0,2,0
0,1,0,1,4564,0.0,136,0,0,0
0,0,3,1,3712,0.0,108,1,1,1
1,0,2,1,4249,4284.0,225,1,1,0
1,0,1,0,9466,0.0,258,1,2,0
0,0,0,1,7714,0.0,238,1,0,1
1,1,0,0,5692,1027.0,133,1,0,1
1,1,0,1,8792,1335.0,235,1,0,1
0,0,2,1,10486,0.0,283,1,0,1
1,0,2,1,6360,1366.0,201,0,1,0
0,0,1,1,5314,2547.0,188,1,1,0
1,0,0,1,9371,0.0,260,1,0,1
0,1,3,1,3669,2961.0,200,0,1,1
1,1,1,1,15067,1907.0,397,1,0,1
0,0,2,1,5550,0.0,189,1,2,0
0,0,0,1,5536,1148.0,182,1,0,0
0,1,0,0,3162,7989.0,278,1,1,0
1,0,3,0,19539,2754.0,494,0,1,0
1,1,0,1,7522,0.0,195,1,1,1
1,1,2,1,3776,0.0,148,1,1,0
0,1,3,1,3024,2555.0,127,1,2,1
0,1,2,0,6370,2375.0,228,1,0,1
1,1,0,0,2794,1801.0,152,0,1,0
0,1,2,0,5328,2616.0,191,0,0,0
1,0,0,1,5264,0.0,185,1,1,0
1,0,0,1,9537,2274.0,277,1,2,0
0,1,0,1,13631,2768.0,401,1,0,0
1,1,1,1,4425,0.0,148,0,2,0
1,1,0,1,2625,0.0,77,1,2,0
1,1,2,1,19164,1971.0,464,1,1,1
1,1,3,1,12890,0.0,290,1,2,1
0,1,3,1,8441,1020.0,214,1,0,1
1,1,0,0,7168,2515.0,270,0,1,0
1,1,0,1,6794,1494.0,210,1,0,1
1,1,1,0,6977,0.0,208,0,0,0
1,1,1,1,9851,4001.0,371,1,1,0
1,1,0,1,3014,0.0,106,0,1,0
1,0,0,1,7027,0.0,181,1,1,1
1,1,2,0,3868,1401.0,167,1,0,1
1,1,1,1,5087,0.0,134,1,1,1
1,1,0,0,4715,1138.0,128,0,1,0
0,1,0,1,5714,2628.0,257,0,2,0
1,1,0,0,3760,1800.0,185,0,2,0
0,0,0,1,12294,4457.0,387,1,1,0
1,0,2,1,5684,2256.0,180,1,2,0
0,0,1,1,5072,3721.0,242,1,2,1
0,1,0,1,11174,0.0,247,0,1,1
1,1,0,0,6441,1000.0,218,1,0,1
1,0,0,1,3916,0.0,142,0,2,0
0,0,0,1,3733,0.0,131,1,1,1
1,1,0,1,6407,2478.0,281,1,1,1
1,1,1,1,8248,1089.0,253,0,1,1
0,1,0,1,5133,0.0,138,1,2,1
1,0,0,1,5868,0.0,133,1,2,1
1,0,0,1,4190,1904.0,176,1,1,1
0,0,3,1,5672,0.0,118,1,2,0
0,1,0,1,5452,0.0,123,1,1,1
1,0,0,1,4730,2079.0,219,0,1,1
1,1,0,1,6989,0.0,209,1,0,0
1,1,0,1,5854,1977.0,199,0,1,0
1,1,2,1,6112,0.0,201,0,1,0
0,1,0,1,4526,1869.0,186,1,2,0
0,0,0,1,6073,0.0,168,1,1,1
1,0,2,0,5543,1574.0,146,0,1,0
0,0,0,1,4042,1654.0,160,1,0,0
1,0,0,0,11308,0.0,285,1,2,0
1,0,0,1,7162,2251.0,230,0,1,0
0,1,2,1,3606,0.0,117,0,0,0
0,1,2,1,5059,0.0,143,0,1,0
0,0,2,1,8389,0.0,216,1,2,0
0,1,0,0,2946,0.0,152,1,2,0
1,1,2,1,6999,0.0,154,1,0,1
1,1,0,1,7097,0.0,191,0,1,0
0,1,0,1,6939,1000.0,207,1,2,0
0,1,0,1,3349,5912.0,218,1,2,0
0,1,2,1,5218,0.0,202,0,2,0
1,1,0,1,10202,0.0,286,0,2,1
1,0,0,0,1865,0.0,49,1,2,1
0,1,0,1,10255,1394.0,211,1,0,1
1,1,1,1,6627,1000.0,198,1,1,0
0,1,0,1,4447,1931.0,149,0,0,0
1,1,0,1,6995,1000.0,237,1,0,0
1,0,2,1,5883,2142.0,201,1,1,1
0,1,0,1,4903,0.0,149,1,1,1
1,1,2,1,11986,1000.0,376,1,1,1
1,1,0,1,6487,1000.0,182,0,1,0
1,0,0,1,6153,0.0,205,0,1,0
1,1,2,1,15522,1394.0,435,0,1,1
0,0,0,1,6757,0.0,171,0,1,0
1,1,1,1,15687,2590.0,418,0,1,0
1,1,0,1,12945,1728.0,372,0,2,0
1,1,2,0,9261,1532.0,238,1,1,1
1,1,1,1,5972,1475.0,178,1,1,1
1,0,0,1,6375,1365.0,228,1,1,1
0,0,2,0,4633,2884.0,197,1,1,1
1,1,3,1,6143,0.0,168,1,1,0
1,0,1,1,5003,0.0,157,1,1,1
0,1,0,0,3316,1000.0,95,0,1,0
1,0,0,1,8243,0.0,249,1,1,1
1,1,0,0,11496,4559.0,347,1,0,0
0,1,0,0,8007,0.0,212,0,1,0
1,1,1,0,10860,0.0,260,0,0,0
0,1,2,1,6102,4950.0,248,0,1,1
1,1,3,0,3428,0.0,115,1,1,0
1,0,0,1,6139,3291.0,254,1,1,1
0,1,0,1,3726,2234.0,171,1,1,1
0,0,0,1,6489,0.0,216,0,1,1
0,1,0,1,5526,0.0,161,1,2,1
1,1,3,1,5246,1421.0,181,1,0,1
1,1,0,1,11528,1631.0,302,1,1,1
1,0,0,0,4886,0.0,98,1,2,0
0,0,3,0,3322,1378.0,92,0,0,0
1,1,0,1,3347,0.0,125,1,2,0
0,0,3,1,6431,0.0,164,0,1,0
1,1,0,1,6905,0.0,177,0,2,0
1,1,0,0,5175,0.0,144,1,0,1
0,0,2,0,7610,0.0,205,0,0,0
0,0,0,1,21259,1929.0,548,0,1,0
1,1,0,1,7655,0.0,215,0,2,0
0,1,2,1,9657,1478.0,210,0,0,0
0,0,2,0,6799,8089.0,338,0,1,0
0,1,2,0,5938,3916.0,241,0,0,0
1,0,2,1,7852,1638.0,247,1,1,1
0,1,0,1,4271,4887.0,261,1,0,0
0,0,3,1,9253,0.0,235,1,0,1
1,1,0,0,5057,1297.0,167,1,0,0
0,0,0,0,8759,1068.0,227,0,0,0
1,0,1,1,5006,1068.0,204,1,1,0
1,1,3,1,2666,0.0,142,0,1,0
1,1,1,0,4654,7219.0,332,1,0,0
1,0,0,1,5644,1550.0,169,1,1,1
1,1,2,1,6095,0.0,206,1,2,1
0,1,0,1,3600,3701.0,178,1,1,1
1,0,0,1,8267,1101.0,242,0,2,0
1,1,0,1,5716,2532.0,236,1,1,1
0,0,3,1,10581,0.0,227,0,2,0
0,0,3,1,5111,1480.0,179,0,0,0
0,1,0,1,2828,1986.0,169,1,2,0
1,1,0,0,7181,0.0,202,0,0,0
1,1,2,1,4442,4751.0,264,0,0,1
1,0,2,1,8269,1841.0,234,1,0,1
1,0,0,0,5706,0.0,205,1,2,1
1,0,0,1,3847,3261.0,229,0,1,1
1,0,1,0,3685,1941.0,118,1,1,1
1,1,0,1,4324,5386.0,300,1,0,1
1,0,0,0,2357,0.0,84,0,2,0
0,0,3,1,4181,3529.0,133,0,1,1
0,1,1,1,9874,0.0,220,1,1,1
1,0,1,1,2615,0.0,142,0,1,0
1,1,3,1,5078,0.0,189,0,0,0
1,0,0,0,5595,0.0,137,1,0,1
1,1,0,1,10955,1681.0,277,1,2,1
1,0,0,0,19251,8484.0,600,1,1,1
1,1,2,1,5166,1399.0,218,0,1,0
1,1,0,0,6969,3466.0,270,1,1,0
