Gender,Married,Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,CreditHistory,PropertyArea,Loan_Status
0,0,0,0,8757,2240.0,284,1,1,1
0,1,1,1,3785,0.0,172,0,0,0
1,0,0,1,3522,0.0,112,0,2,0
0,0,0,1,8526,3109.0,299,0,0,0
1,0,1,1,5887,1644.0,229,1,0,1
1,1,0,0,11857,0.0,270,1,1,1
1,1,3,1,11898,1000.0,256,0,2,0
0,1,1,0,5201,0.0,145,1,1,1
1,1,0,1,6162,0.0,173,0,2,0
0,1,0,1,6849,1992.0,264,1,0,1
0,0,1,1,3869,3140.0,192,1,2,0
1,0,0,1,1771,1091.0,84,0,0,0
1,1,1,1,10220,0.0,237,0,1,1
1,1,0,1,7928,1582.0,225,0,1,0
0,0,3,0,2668,0.0,97,1,0,1
1,1,1,1,9621,2979.0,284,0,1,1
1,1,2,0,7393,1217.0,221,0,0,0
0,0,0,1,10991,2138.0,340,0,1,0
1,0,0,1,14731,1000.0,352,1,2,1
1,1,0,0,8559,1717.0,272,1,0,0
0,1,2,1,9474,4847.0,324,1,1,1
0,1,3,1,3911,1100.0,166,1,0,0
1,1,2,1,4567,2296.0,195,0,1,1
0,1,0,1,9148,6440.0,383,0,1,0
1,1,3,1,17970,0.0,427,1,2,1
0,0,2,1,11200,0.0,293,0,1,0
1,0,0,0,8816,4238.0,365,0,2,0
1,1,0,1,3719,3977.0,173,1,1,1
1,0,0,0,4849,1000.0,173,1,1,0
1,1,2,1,5437,2420.0,196,1,1,1
0,1,0,1,3911,1000.0,91,0,0,0
0,1,2,1,9587,0.0,273,1,1,1
0,0,3,1,7705,0.0,185,1,1,1
1,0,2,0,7047,5136.0,289,1,2,1
0,1,2,1,6518,0.0,183,0,2,0
1,0,2,1,10796,0.0,276,1,1,1
1,0,0,1,1748,0.0,137,0,1,0
1,1,0,1,7618,0.0,244,1,0,1
1,0,0,1,10260,0.0,214,0,0,0
1,0,3,1,8102,0.0,222,1,1,1
1,1,0,1,10738,1000.0,346,0,2,0
1,0,1,1,3553,3022.0,209,1,0,0
1,1,0,1,7415,2548.0,246,1,1,1
0,1,2,1,5061,1932.0,221,1,0,1
1,1,2,1,6540,0.0,200,0,1,0
0,1,2,1,3446,0.0,96,0,1,1
1,1,0,1,8141,0.0,226,0,0,0
1,1,0,1,3933,0.0,129,1,2,1
1,1,0,1,13673,0.0,333,0,0,1
0,0,1,0,4501,4339.0,235,1,1,0
0,1,2,1,16362,0.0,373,0,1,1
0,0,0,1,6438,3274.0,246,1,0,0
1,1,0,1,3597,2730.0,229,0,2,0
1,1,0,0,17768,0.0,358,1,1,1
0,1,1,1,4777,0.0,167,0,0,0
1,0,1,1,5601,0.0,177,1,2,1
1,1,1,1,6227,0.0,143,0,1,1
1,1,1,0,2838,0.0,105,1,2,1
1,0,1,1,2851,1926.0,154,1,1,1
1,0,0,1,6923,3276.0,242,0,0,0
1,1,1,1,3351,1598.0,180,0,0,0
1,1,0,1,13028,2397.0,354,1,0,1
1,0,0,1,5871,1310.0,218,0,2,0
1,1,0,1,10187,0.0,283,0,1,1
0,1,3,1,5623,0.0,135,0,1,1
0,0,0,1,15609,0.0,380,0,2,0
0,1,0,1,8437,0.0,218,1,2,0
1,0,3,1,6324,1105.0,195,1,0,1
1,0,2,1,7395,1562.0,220,1,1,1
0,1,3,1,11479,0.0,235,1,0,0
0,0,1,1,3604,6355.0,271,0,1,0
1,1,0,1,5129,0.0,145,0,0,1
0,0,0,1,8079,1000.0,202,0,0,0
1,1,2,1,7490,2089.0,280,1,2,1
0,0,3,0,7017,5364.0,308,0,1,0
0,1,0,1,5175,2453.0,197,1,0,1
1,1,2,1,6682,0.0,165,1,0,1
1,1,0,0,2567,1841.0,122,0,2,0
0,1,0,1,2191,5553.0,230,0,0,0
1,0,0,1,1964,3326.0,158,1,0,1
1,1,0,1,7460,0.0,226,0,0,0
1,1,0,0,6344,0.0,180,0,1,0
0,0,3,1,2192,6461.0,264,0,0,0
1,1,1,1,7924,0.0,191,0,2,0
1,1,1,1,4173,0.0,163,0,2,0
1,0,1,0,2244,1860.0,130,1,1,1
1,1,0,0,22853,0.0,472,0,1,0
1,1,0,1,5603,1621.0,202,0,0,1
0,1,0,1,5952,1987.0,251,0,0,0
1,1,0,1,9089,0.0,200,1,0,1
1,0,0,1,1607,3623.0,152,0,1,1
1,0,1,1,15433,2213.0,376,1,1,1
0,1,0,1,6335,2320.0,241,0,2,0
0,1,0,1,4504,0.0,80,1,1,0
0,1,0,1,1762,0.0,97,0,2,0
1,1,1,1,14955,2382.0,430,1,0,1
1,1,2,0,14632,0.0,352,1,0,0
1,0,0,0,3295,4982.0,235,0,2,0
1,1,0,0,6195,1713.0,231,1,1,0
0,0,0,1,6363,5239.0,299,0,1,0
0,1,2,1,4272,4011.0,219,0,0,0
0,0,2,1,3513,1883.0,151,0,2,1
1,0,2,1,6875,1131.0,178,0,1,0
1,0,0,1,7333,7122.0,373,1,0,1
1,1,1,1,4141,3197.0,187,1,1,1
0,1,2,1,10322,0.0,249,1,2,0
1,0,0,1,7023,0.0,243,0,2,0
1,0,3,1,7288,1053.0,245,0,0,0
1,0,2,1,4698,2787.0,213,1,1,0
1,0,3,1,4089,0.0,121,1,1,1
1,0,3,1,3913,2520.0,175,1,0,1
1,0,2,1,4172,1325.0,143,1,1,1
1,1,3,1,9576,1602.0,244,1,2,0
0,1,3,1,4553,0.0,149,0,2,0
1,1,0,1,6128,0.0,213,0,0,0
1,0,2,0,3035,0.0,58,1,1,1
1,0,1,1,2487,2489.0,163,1,0,1
0,0,0,1,1676,2588.0,174,1,0,1
1,1,2,1,6567,0.0,199,0,1,0
0,1,2,1,3061,3639.0,175,1,2,1
1,1,0,1,8241,5020.0,324,0,0,0
0,1,2,1,8596,1452.0,241,1,0,1
0,1,0,1,9999,1000.0,206,0,2,0
0,0,0,0,5379,2617.0,186,0,0,1
0,0,2,1,9012,1293.0,294,0,2,0
0,1,0,1,6617,0.0,164,0,0,0
1,1,2,1,3298,10549.0,351,0,1,1
1,1,0,1,6165,3658.0,255,1,1,1
1,1,0,1,6925,1060.0,243,0,0,0
1,0,0,1,5142,0.0,161,1,2,1
0,1,0,1,6559,1676.0,192,0,2,0
1,0,0,0,6183,0.0,187,0,2,0
0,0,0,1,4792,0.0,148,1,2,1
1,1,0,1,4769,2246.0,176,0,1,0
1,0,2,1,4147,0.0,116,1,0,1
1,0,3,1,9193,1000.0,255,0,0,0
0,0,0,1,6267,1284.0,235,0,0,0
0,0,0,1,4303,1990.0,127,0,1,0
