Gender,Married,Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,CreditHistory,PropertyArea,Loan_Status
0,1,0,0,4490,0.0,178,1,0,1
0,0,0,0,3443,0.0,108,1,1,0
1,1,2,1,1900,0.0,87,1,2,1
0,1,1,0,4593,3946.0,211,1,1,0
0,1,1,1,18089,1188.0,395,1,2,1
1,0,0,1,2816,4372.0,204,1,1,1
1,0,0,1,3129,1257.0,137,1,1,1
1,0,0,1,2150,2789.0,141,1,2,1
1,1,0,1,5005,3815.0,241,1,1,1
1,1,0,1,10423,1000.0,287,1,1,1
1,1,1,1,3868,2311.0,137,1,1,1
0,1,2,1,8196,1663.0,214,1,2,1
0,1,3,1,2716,2491.0,129,1,0,1
1,1,0,0,5631,1199.0,229,1,1,0
1,1,0,0,4929,0.0,162,1,1,1
0,0,1,1,1783,1542.0,81,1,0,1
1,1,2,1,6030,1838.0,190,0,2,0
1,0,1,1,6574,10278.0,383,1,0,1
0,1,0,1,7891,1679.0,205,1,1,0
1,0,2,1,6073,0.0,191,0,0,0
0,0,0,1,4944,0.0,189,1,2,0
1,1,2,1,13197,1324.0,346,1,2,1
1,0,1,1,1500,2541.0,114,1,0,1
1,1,2,0,9700,2336.0,285,1,2,1
1,0,3,1,4955,3137.0,247,1,0,1
1,1,1,0,4593,0.0,143,1,1,1
1,1,0,1,6053,0.0,187,1,1,1
0,1,0,1,1500,0.0,38,1,0,1
0,1,3,1,3401,0.0,130,1,1,1
0,0,0,1,2653,0.0,114,1,0,0
1,1,1,1,3445,0.0,140,1,2,0
0,1,0,1,5711,0.0,201,1,1,1
0,0,0,0,10357,3508.0,352,1,0,1
0,1,0,0,2405,1079.0,128,1,2,1
0,1,0,1,2225,0.0,138,1,0,1
0,1,2,1,7693,0.0,205,1,0,1
1,1,0,1,5576,3899.0,236,1,1,1
1,1,2,1,5550,1611.0,179,1,2,1
1,0,0,1,5449,1000.0,170,1,2,1
0,0,0,1,4446,0.0,141,1,2,0
1,0,3,1,4217,0.0,129,1,2,1
1,0,0,1,6570,1000.0,195,1,0,1
0,1,0,1,5058,1302.0,174,0,2,0
0,1,2,1,6601,2073.0,220,1,0,1
1,0,0,1,1955,6218.0,202,1,2,1
1,0,0,0,11168,0.0,220,1,1,1
0,1,1,1,6185,1152.0,223,1,1,1
0,1,1,0,25000,0.0,563,1,0,1
0,1,0,1,2573,0.0,84,1,1,1
1,0,3,1,5596,1623.0,163,1,1,1
1,1,3,0,5337,0.0,116,0,2,0
0,0,2,1,6523,0.0,163,0,1,1
0,0,3,1,1680,4232.0,171,0,1,0
0,1,0,1,2382,0.0,117,1,0,1
0,1,3,1,1500,0.0,93,1,0,0
0,1,0,1,6656,0.0,171,1,0,1
1,1,0,0,4302,7820.0,299,1,2,0
0,0,0,1,2074,0.0,72,1,1,0
1,1,1,1,1500,1652.0,98,1,1,1
0,0,0,1,3844,2655.0,178,1,2,0
1,1,3,1,2467,1000.0,119,1,1,1
1,1,0,1,4315,0.0,132,1,0,1
1,0,0,1,6213,2028.0,171,1,0,1
0,1,1,1,6565,1980.0,235,1,0,1
1,1,0,1,6912,0.0,196,1,2,1
1,1,1,1,4862,0.0,96,1,2,1
1,1,1,1,3133,1435.0,152,1,1,1
0,0,0,0,3259,0.0,54,0,1,0
0,0,0,1,6483,0.0,192,1,2,1
1,0,0,1,2865,0.0,93,1,2,1
1,1,0,0,9156,2656.0,299,1,1,1
0,1,3,1,1620,0.0,52,1,0,1
0,0,2,1,4463,4619.0,215,1,0,1
1,0,0,0,4098,1982.0,167,0,0,0
1,1,0,1,4525,0.0,160,1,1,1
1,1,3,0,4625,0.0,148,0,0,0
1,1,2,1,3310,0.0,113,1,0,1
0,0,2,0,6819,1057.0,202,1,1,1
1,1,0,1,10352,0.0,243,1,2,1
1,1,0,0,3336,0.0,157,1,1,0
1,1,0,1,2356,0.0,140,1,1,1
0,1,2,1,9572,2310.0,223,1,2,1
0,0,0,0,2836,2016.0,175,1,0,0
0,1,2,1,9107,1344.0,268,1,1,1
0,0,1,1,13625,1657.0,321,1,0,1
