Age,Salary,Department,JobSatisfaction,Overtime,YearsAtCompany,WorkLifeBalance,DistanceFromHome,Attrition
39,44128,0,2,1,14,2,1,1
29,95182,0,4,1,3,3,6,0
49,58386,0,3,1,17,3,2,1
23,49984,1,2,0,2,4,2,1
47,38191,1,2,1,11,4,8,1
47,47230,1,2,0,17,2,4,0
38,53860,1,2,0,3,1,7,1
40,71851,1,1,0,4,3,1,0
29,53957,1,3,0,5,3,1,1
37,37687,1,1,1,7,4,20,1
23,69825,1,4,0,4,3,12,0
29,59233,1,4,1,3,1,5,1
34,52167,1,4,0,13,1,5,0
18,55496,1,4,0,1,4,2,0
37,25000,1,4,0,7,3,11,0
33,74210,2,3,0,4,3,2,0
35,71890,1,1,1,16,3,9,1
30,86595,0,3,0,2,1,5,1
46,56490,2,2,0,7,4,9,0
30,83688,1,4,1,2,2,1,1
23,79878,1,3,0,1,1,7,0
53,91779,1,3,1,5,4,1,0
22,80938,1,4,1,2,2,1,0
36,58735,2,1,0,13,2,9,1
39,39406,1,1,1,18,2,2,1
51,53648,1,3,0,16,4,1,0
51,70537,2,4,1,7,3,3,1
25,63064,1,4,1,1,3,1,1
41,75998,0,3,1,9,3,1,1
29,25000,0,1,1,2,3,8,1
37,53066,0,4,0,6,2,30,1
32,56682,0,3,1,6,1,8,1
31,77761,1,2,0,2,2,1,0
30,69409,1,1,0,11,3,1,1
51,52404,1,2,1,17,1,3,1
30,68198,2,2,1,1,2,14,1
38,60171,0,2,0,17,4,1,0
38,32668,1,4,0,5,3,21,0
30,69084,2,3,0,7,2,17,0
42,30498,1,4,1,19,3,1,1
33,64065,1,4,0,6,2,1,1
43,79474,1,3,0,10,3,6,0
36,80930,2,3,1,6,4,5,1
45,58286,1,3,0,7,2,15,0
45,55410,1,3,1,14,2,5,0
36,38704,0,3,1,4,2,2,0
43,74026,1,4,0,11,3,2,1
47,66034,1,1,1,5,2,4,1
47,83943,1,2,0,8,2,3,0
34,35740,0,4,0,9,2,12,0
30,50537,1,3,1,11,3,2,1
35,74911,0,1,1,8,3,7,1
27,85862,1,2,0,2,3,4,0
40,54111,0,1,1,11,4,5,1
34,84045,1,2,0,6,4,1,1
40,69530,1,3,1,5,1,12,1
37,68610,1,3,1,11,2,17,1
29,118428,1,3,0,1,3,5,0
38,64790,0,4,0,6,2,1,0
54,90562,2,4,0,7,3,9,0
37,53976,1,2,0,14,4,5,0
35,34639,2,4,0,5,3,8,0
43,28336,2,1,0,13,4,5,1
44,93483,1,4,0,1,2,10,0
18,42518,1,3,1,1,3,1,1
33,55751,0,3,0,12,2,10,0
32,55431,1,4,0,13,2,19,1
18,56916,1,3,0,1,2,2,1
41,67177,1,4,1,2,4,19,0
33,66553,0,4,0,12,4,10,0
23,75250,1,4,1,4,3,12,0
41,49427,1,2,0,19,2,4,0
34,91574,0,3,1,14,3,1,0
34,65444,0,3,0,8,2,7,0
26,61104,1,3,1,3,3,18,1
30,57560,0,1,1,4,4,12,0
48,51618,1,2,0,17,2,12,0
32,52752,0,3,0,12,1,22,1
37,68996,0,2,0,7,4,6,1
23,73464,1,4,0,1,3,4,0
46,80793,0,3,1,10,3,2,0
44,40136,0,4,1,10,1,21,1
51,75805,0,2,0,1,2,1,1
34,32750,0,2,0,8,3,30,1
43,60354,1,1,0,5,3,2,0
26,55536,1,2,1,6,4,1,0
47,95205,2,1,0,10,4,12,0
48,47559,1,3,1,17,2,1,0
45,51228,1,2,0,19,2,5,0
47,75197,1,1,0,1,2,5,0
39,47602,1,4,0,14,2,21,0
32,56316,0,3,0,7,1,1,0
20,77318,0,2,0,1,4,2,0
36,59032,0,1,0,13,3,3,0
26,88170,1,3,0,5,3,1,0
54,32743,0,1,1,16,3,12,1
42,47001,1,3,0,16,1,6,0
26,66439,0,2,0,5,1,1,1
24,57867,0,2,1,5,1,1,1
32,42512,1,3,0,12,3,7,1
35,61029,0,3,0,12,3,2,0
35,69336,0,4,0,16,2,26,1
43,41412,1,3,1,15,1,11,0
45,50443,1,3,0,12,3,1,0
35,64280,0,3,0,8,3,4,0
39,61355,0,3,1,19,4,1,0
29,57832,1,2,1,8,4,30,0
37,72670,1,1,0,2,2,9,0
34,61810,0,3,1,7,3,1,1
42,71844,1,2,1,17,2,12,1
20,82577,2,3,0,1,3,1,0
32,68876,0,3,1,9,3,5,0
40,69628,1,4,1,18,4,15,1
32,82242,0,3,0,5,3,12,1
44,61857,1,4,1,4,3,19,1
39,25000,0,3,0,20,2,17,1
33,33114,1,4,1,13,1,6,1
43,63178,0,4,0,8,2,1,0
46,44177,0,1,0,5,3,6,1
54,94354,1,4,1,12,2,1,0
46,84224,0,4,1,10,3,12,0
44,57460,1,4,1,10,1,1,0
39,65126,1,3,1,14,4,1,1
42,81410,2,1,0,16,3,3,0
35,64098,1,1,0,1,4,2,0
18,74593,0,2,0,1,3,4,0
34,43610,1,1,0,5,4,5,0
30,48676,1,4,1,10,3,14,1
47,54705,1,3,1,16,2,12,1
35,50072,0,2,1,13,3,17,0
49,93340,0,2,1,6,3,1,0
18,47968,0,1,0,1,1,1,1
36,76342,2,3,1,14,2,2,1
54,60635,1,3,0,17,3,1,0
30,62377,2,2,1,6,3,1,1
45,82327,0,4,1,11,1,16,0
29,70624,1,3,1,1,2,19,1
43,40523,0,3,1,13,3,4,0
