Age,Salary,Department,JobSatisfaction,Overtime,YearsAtCompany,WorkLifeBalance,DistanceFromHome,Attrition
27,71615,1,3,1,3,4,7,0
38,59405,2,1,1,5,3,1,1
47,71233,1,2,0,5,3,8,0
47,97674,0,4,0,18,3,1,0
31,73532,1,2,0,9,3,1,0
38,45999,1,3,1,9,3,1,0
32,49543,0,3,0,13,2,27,0
19,81243,1,4,1,1,3,3,1
37,67451,1,3,0,16,2,5,1
45,94477,1,3,1,7,2,11,0
48,69995,1,3,1,16,2,14,0
43,88337,0,1,0,19,4,12,0
32,33073,1,2,0,10,2,9,1
34,54888,2,4,1,8,4,13,1
28,41732,0,4,0,4,3,2,1
40,69669,2,3,1,11,3,3,0
26,58212,0,4,1,4,2,23,1
41,55733,1,3,0,12,3,11,0
50,47319,1,3,0,7,3,8,1
48,37092,1,4,1,9,3,3,1
38,57130,1,4,0,14,2,24,0
53,50454,1,2,0,10,4,6,0
40,54386,1,3,1,18,2,10,1
35,89265,0,2,1,7,1,3,1
40,64757,1,1,0,9,1,1,0
35,58408,2,2,0,6,1,15,0
36,60770,0,3,0,13,4,9,0
46,62992,1,4,0,9,4,1,0
43,59748,1,1,0,18,3,11,0
36,71836,1,4,1,6,2,2,1
48,80758,1,4,0,12,4,2,0
51,31479,1,2,0,20,3,1,0
24,109632,1,2,1,1,4,4,0
37,39096,1,3,1,12,2,10,1
28,95439,1,4,0,6,2,12,0
36,66816,0,2,1,3,3,8,0
42,62019,1,2,0,1,3,1,1
42,32586,1,3,1,13,2,23,1
31,33642,1,1,0,2,2,2,1
32,79537,1,2,0,3,4,12,1
34,61083,0,1,0,13,3,1,0
49,27271,1,4,0,9,1,11,1
49,52349,0,1,0,1,1,1,0
29,57041,1,4,1,2,2,9,1
49,97560,0,3,0,19,2,4,0
48,64595,1,3,1,10,2,11,1
52,31320,0,3,0,14,3,1,0
41,77903,1,2,0,18,3,5,1
47,66880,2,2,0,11,3,1,0
48,69439,1,2,0,16,4,3,0
34,35007,1,1,0,10,1,28,1
34,56822,1,2,1,10,4,1,1
35,57224,0,3,1,2,3,8,1
27,83162,1,1,0,4,3,24,1
31,94438,0,4,1,4,4,1,0
47,87315,1,2,0,1,4,5,0
47,42951,1,2,1,8,1,22,1
22,31625,0,3,0,2,2,23,1
31,91638,1,3,0,10,3,5,0
