Age,Salary,Department,JobSatisfaction,Overtime,YearsAtCompany,WorkLifeBalance,DistanceFromHome,Attrition
56,109707,1,4,1,7,3,3,0
28,57052,1,4,0,9,3,10,0
41,86905,2,1,1,17,1,1,0
42,49371,1,3,1,10,3,23,0
26,52505,1,3,0,7,3,2,0
31,88907,1,4,1,11,2,5,0
39,72080,2,3,0,16,1,1,0
38,37923,0,3,0,17,3,4,0
51,65101,1,3,1,10,3,1,1
37,75883,1,3,1,13,2,7,1
23,88468,1,3,1,3,4,1,1
36,76665,0,4,0,4,3,1,1
50,106536,1,2,1,18,3,1,0
19,25000,1,1,1,1,4,1,1
39,53353,1,4,0,19,3,24,1
18,95303,0,3,0,1,3,3,1
47,96296,0,2,0,18,3,1,0
40,94938,1,4,1,10,2,7,0
30,42831,0,1,1,11,3,12,1
28,48368,1,1,1,8,4,14,1
18,86993,0,4,1,1,2,13,1
28,25000,2,2,0,5,2,30,1
34,93499,1,2,0,13,4,12,0
32,77021,1,4,1,8,2,17,1
42,82653,1,1,0,1,3,6,1
32,44890,1,1,1,10,4,1,1
36,70781,1,3,1,11,2,8,1
44,92146,1,3,1,14,3,1,0
37,70625,1,2,0,11,3,8,0
33,125154,2,3,1,8,3,30,1
31,45809,2,3,1,4,3,1,1
44,73224,1,3,1,15,2,5,0
24,105357,2,1,0,4,2,1,0
37,59401,1,4,1,6,3,14,1
40,79756,1,1,1,2,2,2,0
18,53382,1,4,1,1,2,7,1
47,64852,1,3,0,17,1,6,0
40,66511,1,1,1,9,3,1,0
38,98832,2,1,0,17,1,6,0
33,25000,1,3,1,8,2,9,0
51,90699,1,3,0,15,2,6,0
38,92353,1,4,0,6,2,1,0
51,70632,0,4,0,16,2,30,0
18,126910,1,4,0,1,3,15,0
40,68498,2,2,0,4,3,4,0
23,63019,0,2,0,2,3,1,1
42,89255,1,2,0,12,2,5,0
27,49375,1,3,1,5,3,10,0
33,61319,1,2,0,2,3,1,1
24,81578,1,1,0,2,1,1,0
18,76553,0,1,1,1,1,4,1
47,89688,1,4,0,12,3,4,0
23,102963,1,3,0,3,3,4,0
40,78375,2,3,0,13,3,1,0
33,50022,1,4,0,10,3,3,0
26,68647,2,3,0,2,2,5,0
38,59897,1,4,1,6,3,10,1
34,86077,1,3,0,13,3,20,0
29,108956,1,1,0,4,3,20,0
32,93528,1,3,0,9,1,1,0
43,67490,0,4,0,3,4,5,0
46,34768,0,1,1,18,2,21,1
