ClaimAmount,CustomerAge,PolicyYears,AccidentSeverity,NumberOfClaims,VehicleAge,PremiumAmount,Fraudulent
4352,51,5,1,1,7,1553,1
11818,43,5,2,1,4,1299,0
24448,51,6,1,1,9,1358,0
24759,69,9,0,1,14,1476,0
6159,53,10,0,1,9,1845,0
10883,33,8,1,2,20,2323,0
6717,36,14,0,1,12,1253,0
2088,58,8,0,3,6,1909,0
10653,48,3,2,1,10,2021,0
20368,67,13,2,2,11,1667,0
28327,50,15,0,1,3,1589,0
18340,63,13,1,5,9,2579,0
6424,24,2,1,1,16,1894,1
7884,40,1,0,1,9,1356,0
4858,30,5,0,4,10,2403,0
13675,50,5,0,2,3,1517,0
3960,42,8,0,1,12,1418,0
15310,40,2,2,1,10,1682,1
31674,34,15,1,1,18,2181,0
26348,27,5,1,5,10,1858,1
11813,41,14,0,2,14,1690,0
41995,36,10,1,1,13,1598,0
13253,39,2,2,1,18,1994,1
8491,64,4,1,2,11,2186,0
13383,46,2,1,3,12,1861,0
8648,42,8,0,1,19,1542,0
9123,44,9,0,3,7,1874,0
22112,45,5,0,1,9,1685,0
17803,43,9,0,1,9,1769,0
9162,51,14,1,1,7,1603,0
27785,58,3,0,1,15,1672,0
35560,23,2,0,3,13,2048,0
3215,78,15,1,3,9,1928,0
10308,28,6,0,3,9,1748,0
4716,68,12,0,4,13,2537,0
9841,48,9,0,2,7,1776,0
15689,45,12,0,4,13,2053,0
16156,24,2,0,1,14,1876,1
5975,25,5,0,1,13,1585,0
6812,57,12,1,1,8,1770,0
7797,44,6,1,1,10,2063,0
29157,20,1,0,1,16,2037,1
29706,38,10,1,1,5,1405,0
4919,41,1,0,3,17,2098,0
28982,69,12,0,1,15,2084,0
26320,46,2,1,1,10,1620,1
38134,23,4,1,1,8,1489,0
14131,56,7,0,1,7,1409,0
25518,48,11,0,1,12,2003,0
27792,50,8,1,1,8,1462,0
7936,26,1,1,1,4,1061,0
7802,41,15,1,1,9,1782,0
8505,41,11,0,2,3,1783,0
4290,59,14,1,4,8,2167,0
6088,67,15,1,2,7,1738,0
25668,62,4,1,1,17,1343,0
25324,31,10,0,1,5,1504,1
2727,23,1,1,3,10,1857,0
5838,65,9,0,2,15,1985,0
8624,43,13,1,2,9,1528,0
13583,38,9,0,1,13,1779,0
19639,55,5,1,3,10,1972,1
12616,24,1,1,2,13,1860,1
4965,44,3,0,1,9,1744,0
9548,54,3,2,1,7,1584,1
31394,56,14,0,1,11,1559,0
11226,49,9,0,1,9,1852,0
3647,35,12,0,1,11,1897,0
19294,35,3,1,2,7,1652,1
14521,47,1,0,1,9,1892,0
32666,32,10,0,3,11,1788,0
12616,44,7,0,1,6,2030,0
16549,41,13,0,1,19,1849,0
9492,60,10,0,3,4,2009,1
5160,42,3,0,3,8,2458,0
7099,65,10,0,4,13,2167,0
10668,48,11,1,3,7,1804,0
4572,45,9,0,1,10,1671,0
12774,33,7,0,1,12,1836,0
21843,38,9,0,1,15,1554,0
5735,29,6,0,1,12,1984,0
13933,52,5,0,2,10,1671,0
7462,49,13,2,2,14,1559,0
8615,53,6,1,1,13,1253,0
38740,60,14,0,3,12,2078,0
6023,59,8,1,1,12,1914,0
3852,42,6,2,3,16,2005,0
11230,66,5,1,1,12,1695,1
11359,20,1,1,1,14,1814,1
12727,63,12,2,3,12,1933,0
2115,45,3,0,1,13,1622,0
