ClaimAmount,CustomerAge,PolicyYears,AccidentSeverity,NumberOfClaims,VehicleAge,PremiumAmount,Fraudulent
3517,59,3,1,1,2,1120,0
3185,23,3,1,1,11,1956,0
3021,33,13,2,3,10,1658,0
10322,69,8,0,2,5,1921,0
7707,40,3,0,1,12,1730,0
2923,56,6,1,1,7,1786,0
27943,49,9,1,1,7,1679,0
4176,30,8,1,1,9,1748,0
3814,50,2,0,1,7,1529,0
5184,39,14,0,1,6,1511,0
10905,25,4,2,2,4,1814,1
3207,25,4,0,1,10,1667,0
1441,63,12,0,4,11,1956,0
3738,40,12,1,4,8,1841,0
8687,53,10,1,1,1,1443,0
4409,69,10,2,3,10,1942,0
7367,55,11,0,2,5,1776,0
2924,38,4,2,2,3,1351,0
6543,38,5,2,2,4,1895,1
2594,33,8,2,1,6,1776,0
11025,31,11,0,1,6,1685,0
13772,43,7,0,3,4,1615,0
1348,39,14,0,3,11,1993,0
3331,48,9,0,1,3,1398,0
2929,32,4,2,1,2,1870,1
2922,50,13,0,2,1,1720,0
2269,27,8,0,2,9,1919,0
5141,42,9,0,1,2,1674,0
13169,30,2,1,1,10,1737,0
17982,57,10,0,1,3,1455,0
4333,45,2,0,1,5,1522,0
6267,67,13,1,2,9,1741,0
17205,73,13,1,1,12,2190,0
12500,19,1,2,4,9,2060,1
3255,63,6,2,3,6,1677,1
4124,20,1,0,1,7,1427,0
9106,58,7,0,1,7,1444,0
7013,56,5,1,1,7,1425,0
2157,51,6,2,3,5,2034,1
2714,35,5,0,1,8,1471,0
10625,61,9,0,2,12,1684,0
2766,47,14,1,1,6,1378,0
2776,38,6,1,2,7,1695,1
4450,19,1,1,1,2,1483,0
3844,51,15,1,4,10,2474,0
2432,62,9,1,1,9,1498,0
3097,54,1,1,1,6,1631,1
4100,66,10,1,1,1,1307,0
2799,71,10,0,1,3,1222,0
6825,28,3,0,2,1,1648,0
816,39,9,1,2,7,1864,0
7642,57,14,0,2,5,1687,0
10155,32,1,1,1,2,1434,0
7708,30,1,0,1,9,1670,0
844,63,12,0,1,8,1773,0
2851,45,11,0,1,5,1654,0
5129,40,7,0,1,11,2073,0
10602,52,5,0,1,6,1618,0
5698,30,5,1,1,1,1702,0
4643,53,1,0,4,8,1998,0
3197,49,14,1,1,7,1496,0
5713,41,6,0,1,12,1950,0
6258,53,3,0,1,5,1369,0
1693,43,10,2,2,9,1687,0
3363,30,3,0,1,3,1360,0
15860,35,11,0,1,8,1577,0
2525,58,8,1,2,11,2068,0
10301,49,5,0,1,1,1716,0
15075,18,1,2,1,15,1819,1
8720,58,4,0,1,7,1401,1
3167,59,10,0,3,5,1840,0
9311,49,4,0,2,4,1840,0
4033,22,2,0,1,12,1595,1
3678,46,6,2,1,3,1369,0
2866,53,4,0,1,1,1272,0
2251,69,8,1,1,8,1627,0
6212,48,6,1,3,1,1699,0
4138,56,8,0,1,11,1352,0
5765,37,10,0,3,12,1881,0
4593,51,6,2,2,10,1917,0
7067,58,5,0,1,9,1552,0
2461,50,4,0,1,10,1741,0
10972,48,10,2,1,4,1648,0
2184,25,4,0,2,11,1676,0
6576,36,11,0,1,4,1524,0
3978,38,15,0,1,3,1290,0
3033,35,2,0,1,10,1286,0
3569,51,3,0,3,12,2141,0
5811,66,2,0,3,5,1836,0
2442,51,5,2,1,1,1169,0
2696,18,1,0,2,7,1458,0
11250,39,2,1,1,7,1776,1
4584,18,1,1,4,13,2698,1
4590,64,15,1,1,13,1778,0
1403,66,1,0,2,2,1504,0
2340,36,5,0,3,4,1572,1
5912,33,14,0,1,8,1368,0
2893,62,13,0,2,8,1810,0
9726,53,7,2,2,11,2144,1
5455,74,14,1,1,5,1189,0
1415,35,1,0,1,2,1483,0
7691,33,1,1,1,7,1707,1
4245,27,1,0,2,11,1965,0
785,52,10,0,3,11,2242,0
9488,47,9,1,1,7,1415,0
14894,34,8,0,2,8,1707,0
9740,22,1,1,1,1,1048,1
7469,42,11,1,1,6,1339,0
3688,50,1,1,1,6,1738,0
8260,29,6,2,3,7,1894,0
5958,58,3,1,2,6,1784,1
13086,76,13,0,2,3,1903,0
7360,63,2,0,2,3,1701,0
5931,40,14,2,1,11,2007,0
6804,60,14,1,1,2,1261,0
3805,39,5,0,2,6,1614,0
4936,38,10,0,1,8,1680,0
71715,57,3,2,1,11,1785,1
6967,33,8,1,2,1,2126,0
1060,18,1,2,1,6,1448,1
1687,31,8,0,1,4,1228,0
10856,40,2,2,1,2,1081,1
4124,43,15,0,2,5,1552,0
4103,49,2,0,1,8,1607,0
3537,63,4,1,1,1,1368,0
2613,49,1,1,1,8,1556,1
1741,45,7,1,1,11,1622,0
17087,53,9,1,2,2,1953,0
9404,64,14,1,2,2,1861,0
3246,35,7,1,1,7,1447,0
14412,52,9,2,1,6,1725,0
15454,33,10,0,2,4,2006,0
2075,18,1,0,3,11,1509,1
1165,31,2,1,1,8,1521,0
3016,44,2,0,1,5,1370,0
5193,63,9,0,2,4,1654,0
16321,33,8,2,3,1,1718,0
9961,40,8,2,1,5,1630,0
6216,34,15,0,2,4,1365,0
9469,46,2,0,1,10,1572,0
11438,32,7,0,2,9,1828,0
2779,45,11,1,1,11,1409,0
2973,60,7,2,1,3,1463,0
5748,27,4,1,1,6,1565,0
2286,68,12,2,1,1,1397,1
2666,42,9,0,2,3,1873,0
6699,63,15,2,2,6,1793,0
12333,26,2,2,1,10,1636,1
5321,51,13,1,3,7,1351,0
2505,66,9,1,1,7,1544,0
5016,30,5,2,2,10,1744,1
8425,18,1,1,2,12,2127,1
1406,43,7,2,1,2,1304,0
3479,38,1,1,1,8,1454,1
23736,41,2,0,2,4,1826,1
2545,32,5,1,2,9,1882,1
3025,51,3,0,5,2,1636,0
845,56,6,1,2,5,1540,1
1686,40,8,1,2,6,1626,0
17861,31,8,1,5,6,2099,0
2928,44,5,2,3,9,1907,1
2098,36,6,1,1,1,1339,0
2451,46,6,0,1,5,1423,0
1151,57,5,0,1,7,1706,0
7194,63,6,0,4,8,1973,1
2627,71,13,1,3,4,1930,0
2058,43,8,0,3,5,1934,0
1566,56,9,2,4,9,2337,1
2929,41,6,0,1,6,1641,0
2453,45,14,1,1,9,1632,0
11321,37,5,1,1,7,1524,1
7878,31,11,2,1,5,1610,0
7044,32,13,1,1,6,1672,0
9021,29,5,1,1,12,1676,0
7699,30,10,2,1,16,1583,1
5235,36,15,0,1,4,1573,0
8572,48,12,2,1,13,1722,0
4655,50,4,1,1,9,1036,0
15916,53,1,1,1,8,1135,0
10468,53,11,2,1,11,1750,0
5623,41,1,0,1,6,1693,0
1124,63,6,0,1,11,1882,0
2266,63,15,1,1,7,1374,0
5523,45,14,1,2,9,1507,0
1639,47,13,2,1,8,1472,0
4877,57,2,1,1,12,1559,0
9401,50,6,0,1,2,1476,0
2442,27,8,0,1,10,1601,0
1605,33,13,2,1,7,2124,0
9705,47,13,1,1,4,1677,0
4192,46,11,0,1,1,1435,0
6437,49,5,0,2,8,1671,0
2509,20,1,1,2,9,2137,1
19974,64,4,0,1,10,1793,0
12934,33,13,0,3,2,1604,0
4486,51,10,0,1,3,1703,0
19282,42,11,2,5,6,2164,1
4572,21,2,0,2,8,1376,0
10326,76,7,0,1,7,1283,0
8319,60,10,0,1,1,1498,0
1349,80,3,0,1,7,1638,0
4335,37,11,1,1,5,835,0
3663,51,6,2,1,3,1714,0
2507,25,4,1,1,4,1700,1
3297,54,10,0,1,3,1398,0
9107,67,11,1,3,11,1621,0
5689,46,2,0,4,9,2233,1
2967,68,15,1,3,11,2163,0
1861,51,3,1,1,4,1575,0
9211,29,8,1,1,5,1217,0
4159,47,11,2,1,10,1569,0
5368,39,12,1,1,13,1662,0
9274,57,1,1,3,8,1985,0
9949,47,14,0,1,4,1421,0
5129,37,15,0,1,7,1679,0
4628,50,1,0,3,6,1590,0
1960,66,6,0,1,1,1168,0
1155,21,2,2,2,2,1319,1
7784,36,14,1,1,7,1659,0
8798,51,9,0,2,4,1584,0
7826,56,9,0,3,7,1801,0
3540,33,6,0,1,3,1352,0
4270,18,1,0,1,5,1643,0
3810,50,13,0,2,7,1425,0
1227,18,1,1,1,8,1895,0
4773,63,2,0,1,11,1529,1
31725,62,3,0,3,11,2126,1
1901,42,1,1,3,7,1816,1
2724,40,2,0,1,10,1723,0
4462,59,8,1,1,5,1105,0
4427,51,8,1,4,5,2114,1
1400,41,4,0,3,8,1968,0
3578,63,11,2,1,3,1327,0
4010,39,8,1,1,10,1624,0
1169,50,3,1,3,1,1273,1
1160,48,14,1,2,1,1503,0
9361,58,1,0,1,1,1570,0
4065,66,12,2,2,9,1747,0
4122,59,7,1,3,4,1479,0
5038,23,4,0,1,8,1395,0
2669,18,1,1,1,9,1548,1
1539,49,14,1,4,6,1735,0
2467,54,5,0,3,8,1850,0
10389,53,14,0,4,7,1681,0
5262,36,9,0,2,11,2208,0
1819,18,1,0,5,1,1989,1
28333,39,3,1,1,3,957,1
2498,43,10,0,5,10,2171,0
2731,45,8,0,1,11,1363,0
8399,38,7,1,1,9,1751,0
7376,57,2,0,1,3,1310,0
42134,50,3,0,1,13,1715,1
7502,36,9,1,1,2,1403,0
8748,54,13,1,1,5,1647,0
1783,21,1,1,1,8,1610,0
5344,42,2,1,1,12,1624,0
4060,65,2,1,1,4,1329,0
2383,47,8,1,1,6,1961,0
4737,37,4,1,1,13,1621,0
5809,56,1,2,1,3,1823,0
23511,52,4,1,1,3,1980,0
15815,69,2,1,1,1,1646,0
7538,46,1,2,1,6,1859,1
3918,42,14,1,1,3,1389,0
7252,49,1,1,3,11,2184,1
16401,43,7,0,1,15,1740,0
1987,30,11,0,2,14,1719,0
4429,41,1,1,3,7,1693,0
1013,29,9,1,1,8,1664,0
10786,51,10,1,3,1,1844,0
6579,51,7,1,1,12,1826,0
11803,42,6,0,2,3,1686,1
4713,38,13,0,1,10,1468,0
5405,45,12,1,2,9,1797,0
3508,39,1,2,5,11,2672,1
3063,36,1,0,1,7,1567,0
3723,67,8,0,1,7,1537,0
9736,61,13,1,3,10,1721,0
923,56,10,0,1,1,1140,0
2699,34,14,0,1,17,2040,0
6053,61,14,0,2,2,1327,0
6497,37,4,1,1,7,1770,1
1483,56,2,2,1,1,1320,0
5283,19,1,1,2,5,1903,1
2390,51,4,0,1,8,1058,0
5889,46,3,0,1,1,1749,1
42769,39,8,1,1,5,1533,0
3481,56,10,2,2,2,1511,0
745,59,13,2,1,10,1440,0
6905,40,4,0,1,6,2051,0
5316,44,1,1,1,8,1511,0
3018,44,15,0,2,1,1817,0
8735,42,4,2,3,1,1332,0
1847,21,1,0,1,12,1687,0
2806,19,1,0,1,5,1405,0
38988,65,14,0,1,7,1070,0
6010,49,2,2,3,9,2014,1
13897,55,11,1,1,4,1716,0
12086,61,15,0,2,9,2315,0
17623,33,7,1,3,7,2118,0
1284,52,10,0,2,8,2268,0
1778,35,6,1,2,4,1924,1
4508,22,2,1,2,15,2131,1
3692,65,5,0,3,6,1989,0
7724,53,5,0,2,9,1730,0
5732,60,5,0,1,3,1391,0
3321,38,6,2,3,15,2180,0
1334,18,1,1,3,12,2220,1
5393,49,2,1,1,6,1791,0
7962,73,12,0,1,6,1875,0
6065,79,8,0,1,10,1274,0
1258,32,13,2,3,10,2155,0
2911,48,13,1,2,6,1710,0
10739,58,6,0,3,12,1837,1
1234,80,5,2,2,10,1858,0
3702,51,12,2,1,2,1138,0
10439,42,1,2,1,5,1564,1
3685,46,14,0,1,5,1318,0
1730,47,15,1,1,3,1221,0
6385,58,15,0,1,10,1411,0
3418,74,13,2,4,8,2283,0
3665,43,14,0,1,8,1875,0
3618,32,4,0,1,4,1561,0
15012,29,3,0,3,6,2001,0
3359,34,12,1,5,1,1801,0
16437,51,5,0,1,12,1976,0
7792,43,14,2,2,13,1759,1
6700,26,3,1,1,4,1423,1
5374,50,4,1,3,9,1936,1
7073,39,6,1,1,11,1783,0
4988,35,9,0,2,7,1518,0
12031,65,13,0,1,5,1302,0
